frame_index,time_sec,point_count,imu_status,imu_status_label,mapping_confidence
563,56.30165975800001,19968,0,stable,high
564,56.401470005,19968,0,stable,high
565,56.501790605,20064,0,stable,high
566,56.601470409,20064,0,stable,high
567,56.702723194,19968,0,stable,high
568,56.801756530000006,20064,0,stable,high
569,56.901514236,19872,0,stable,high
570,57.001457874,20064,0,stable,high
571,57.101476137000006,19968,0,stable,high
572,57.201542877,20064,0,stable,high
573,57.301808256,19968,0,stable,high
574,57.401465756,19968,0,stable,high
575,57.501299876,19968,0,stable,high
576,57.601805103,20064,0,stable,high
577,57.701494529,19968,0,stable,high
578,57.801631857,19968,0,stable,high
579,57.901501176,20064,0,stable,high
580,58.00165071200001,19968,0,stable,high
581,58.101265068,19968,0,stable,high
582,58.201663295,20064,0,stable,high
583,58.302592717,19968,0,stable,high
584,58.401564653,19968,0,stable,high
585,58.501504619,20064,0,stable,high
586,58.601681012,19968,0,stable,high
587,58.701759391,19968,0,stable,high
588,58.801730872,20064,0,stable,high
589,58.901807912,19968,0,stable,high
590,59.001439715,19968,0,stable,high
591,59.101546759,20064,0,stable,high
592,59.201344811000006,19968,0,stable,high
593,59.301780925,20064,0,stable,high
594,59.401837296,19968,0,stable,high
595,59.501723239,19968,0,stable,high
596,59.601499479000005,19968,0,stable,high
597,59.701658989,20064,0,stable,high
598,59.801813389,19968,0,stable,high
599,59.90144464,19968,0,stable,high
600,60.001712685,20064,0,stable,high
601,60.101737863,19968,0,stable,high
602,60.201720774,20064,0,stable,high
603,60.30226136500001,19968,0,stable,high
604,60.40169486200001,19968,0,stable,high
605,60.501908826000005,20064,0,stable,high
606,60.601804634,19968,0,stable,high
607,60.701406152,19968,0,stable,high
608,60.801786601,19968,0,stable,high
609,60.901690902000006,20064,0,stable,high
610,61.002495408,19968,0,stable,high
611,61.101797035,20064,0,stable,high
612,61.201822047,19968,0,stable,high
613,61.301922672,20064,0,stable,high
614,61.401902915,19872,0,stable,high
615,61.501572725,20064,0,stable,high
616,61.601720494000006,19968,0,stable,high
617,61.701673036,19968,0,stable,high
618,61.802018839000006,20064,0,stable,high
619,61.901782748,19968,0,stable,high
620,62.003422142000005,19968,0,stable,high
621,62.101772694000005,20064,0,stable,high
622,62.201951511,19968,0,stable,high
623,62.301853818000005,19968,0,stable,high
624,62.401603114,20064,0,stable,high
625,62.501780413000006,19968,0,stable,high
626,62.602287612000005,20064,0,stable,high
627,62.701862865,19968,0,stable,high
628,62.801919522000006,19968,0,stable,high
629,62.901563634000006,20064,0,stable,high
630,63.001867816,19968,0,stable,high
631,63.101525022,19968,0,stable,high
632,63.201694267,20064,0,stable,high
633,63.30169355900001,19968,0,stable,high
634,63.402227307,19968,0,stable,high
635,63.501725069,20064,0,stable,high
636,63.60205786900001,19968,0,stable,high
637,63.70194751100001,19968,0,stable,high
638,63.80205715,20064,0,stable,high
639,63.902038504,19968,0,stable,high
640,64.001998646,19968,0,stable,high
641,64.101562414,19968,0,stable,high
642,64.201675906,20064,0,stable,high
643,64.301840807,19968,0,stable,high
644,64.401940667,19968,0,stable,high
645,64.501935891,20064,0,stable,high
646,64.60213786,19968,0,stable,high
647,64.70190038700001,19968,0,stable,high
648,64.80156602000001,20064,0,stable,high
649,64.902224223,19968,0,stable,high
650,65.00174796200001,19968,0,stable,high
651,65.101505231,20064,0,stable,high
652,65.201897954,19968,0,stable,high
653,65.301836908,20064,0,stable,high
654,65.401810162,19872,0,stable,high
655,65.501753955,20064,0,stable,high
656,65.601390311,19968,0,stable,high
657,65.70196164000001,19968,0,stable,high
658,65.802022869,20064,0,stable,high
659,65.90175093100001,19968,0,stable,high
660,66.00177016800001,20064,0,stable,high
661,66.101739388,19968,0,stable,high
